"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C9","10n","~","guitarPedalLib:C_Film_L7.2_W2.5_SilkVal","2",""
"C2","100p","~","guitarPedalLib:C_Film_L7.2_W2.5_SilkVal","1",""
"C3,C5","22u","~","guitarPedalLib:C_Electro_D6.3mm_P2.50mm_SilkVal","2",""
"C4","100n","~","guitarPedalLib:C_Film_L7.2_W5.0_SilkVal","1",""
"C6,C7,C10","1u","~","-- mixed values --","3",""
"C8","47n","~","guitarPedalLib:C_Film_L7.2_W2.5_SilkVal","1",""
"C100","100u","~","guitarPedalLib:C_Electro_D6.3mm_P2.50mm_SilkVal","1",""
"D100","5817","http://www.vishay.com/docs/88525/1n5817.pdf","guitarPedalLib:D_DO-35_L7.62mm_Horz_SilkVal","1",""
"D101","LED","~","guitarPedalLib:LED_P3","1",""
"JST_FOOTSW1","Conn_01x04","~","Connector_JST:JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical","1",""
"JST_POWER1","Conn_01x02","~","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","1",""
"J_GND1,J_GND2","Conn_01x01_Pin","~","guitarPedalLib:Wire_Hookup","2",""
"POT_DRIVE1,POT_VOL1","A100K","~","guitarPedalLib:Pot_16mm_ShaftCentered_OffBoard","2",""
"POT_SAG1","B10K","~","guitarPedalLib:Pot_16mm_ShaftCentered_OffBoard","1",""
"Q1,Q2","J201","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_JFETs","guitarPedalLib:TO-92-3_FormedLeads_SilkVal","2",""
"Q3","PMBT2222A","https://assets.nexperia.com/documents/data-sheet/PMBT2222A.pdf","guitarPedalLib:TO-92-3_FormedLeads_SilkVal","1",""
"R1,R3","2M","~","guitarPedalLib:R_Axial_L6.3_D2.5_P7.62_Horizontal_SilkVal","2",""
"R2","33K","~","guitarPedalLib:R_Axial_L6.3_D2.5_P7.62_Horizontal_SilkVal","1",""
"R4,R7,R8","1K","~","guitarPedalLib:R_Axial_L6.3_D2.5_P7.62_Horizontal_SilkVal","3",""
"R5","10K","~","guitarPedalLib:R_Axial_L6.3_D2.5_P7.62_Horizontal_SilkVal","1",""
"R6","5K1","~","guitarPedalLib:R_Axial_L6.3_D2.5_P7.62_Horizontal_SilkVal","1",""
"R9,R11","330K","~","guitarPedalLib:R_Axial_L6.3_D2.5_P7.62_Horizontal_SilkVal","2",""
"R10","1M","~","guitarPedalLib:R_Axial_L6.3_D2.5_P7.62_Horizontal_SilkVal","1",""
"R100","47R","~","guitarPedalLib:R_Axial_L6.3_D2.5_P7.62_Horizontal_SilkVal","1",""
"R101","4K7","~","guitarPedalLib:R_Axial_L6.3_D2.5_P7.62_Horizontal_SilkVal","1",""
"SW_TONE1","ON/OFF/ON","~","4ms_Switch:Switch_Toggle_SPDT_Mini_SolderLug","1",""
"TP1,TP2","TestPoint","~","TestPoint:TestPoint_Keystone_5010-5014_Multipurpose","2",""
"TRIM_BIAS1,TRIM_BIAS2","B50K","~","4ms_Potentiometer:Pot_Trim_7x6.6mm_T73YE","2",""
